NAMEANDARGS(C128)	IDNUM(B4)	TYPE(C32)	DESC(C255)
D	101	?	Unknown
L	102	?	Unknown
X	103	?	Unknown
Y	104	?	Unknown
C	105	?	Unknown
B	106	?	Unknown
E	107	?	Unknown
OS	201	?	Unknown
LV	202	?	Unknown
RV	203	?	Unknown
VP	204	?	Unknown
RND	301	?	Unknown
CMA	302	?	Unknown
OPV	303	?	Unknown
RUN	304	?	Unknown
CAL	305	?	Unknown
HLT	306	?	Unknown
ZMV	307	?	Unknown
MID	308	?	Unknown
RGB	309	?	Unknown
TAB	310	?	Unknown
CLK	311	?	Unknown
CMD	312	?	Unknown
STR	313	?	Unknown
LWR	314	?	Unknown
UPR	315	?	Unknown
FLT	316	?	Unknown
DDE	317	?	Unknown
SET	318	?	Unknown
RAW	319	?	Unknown
WEB	320	?	Unknown
VIS	321	?	Unknown
GPS	322	?	Unknown
DMS	323	?	Unknown
CFG	324	?	Unknown
LEN	325	?	Unknown
HEX	326	?	Unknown
PIK	327	?	Unknown
MON	328	?	Unknown
DOW	329	?	Unknown
SQL	330	?	Unknown
CHR	331	?	Unknown
ELV	332	?	Unknown
DTM	333	?	Unknown
INT	334	?	Unknown
INC	335	?	Unknown
DEC	336	?	Unknown
PAD	337	?	Unknown
SUM	338	?	Unknown
MIN	339	?	Unknown
MAX	340	?	Unknown
DOY	341	?	Unknown
DOM	342	?	Unknown
AZM	343	?	Unknown
RDF	344	?	Unknown
ABS	345	?	Unknown
AVE	346	?	Unknown
GMD	347	?	Unknown
MOD	348	?	Unknown
NUM	349	?	Unknown
SUN	350	?	Unknown
HSL	351	?	Unknown
STR	352	?	Unknown
LIT	353	?	Unknown
COG	354	?	Unknown
FTP	355	?	Unknown
DSN	356	?	Unknown
VAR	357	?	Unknown
ZOOM	401	?	Unknown
FCHR	405	?	Unknown
LCHR	406	?	Unknown
FILL	407	?	Unknown
OPEN	408	?	Unknown
EDIT	409	?	Unknown
BOOL	410	?	Unknown
INDX	411	?	Unknown
TEST	412	?	Unknown
MASK	413	?	Unknown
SAVE	414	?	Unknown
DIST	415	?	Unknown
MENU	416	?	Unknown
HOUR	417	?	Unknown
TRIM	418	?	Unknown
PICK	419	?	Unknown
NULL	420	?	Unknown
SNAP	421	?	Unknown
EXIT	422	?	Unknown
UNDO	423	?	Unknown
MISC	424	?	Unknown
HELP	425	?	Unknown
POLY	426	?	Unknown
REAL	427	?	Unknown
PING	428	?	Unknown
YEAR	429	?	Unknown
GRID	430	?	Unknown
DUMP	431	?	Unknown
THEME	501	?	Unknown
WHILE	502	?	Unknown
FETCH	503	?	Unknown
TABLE	504	?	Unknown
TRNTO	505	?	Unknown
CVTTO	506	?	Unknown
CLOSE	507	?	Unknown
SLEEP	508	?	Unknown
RESET	509	?	Unknown
MACRO	510	?	Unknown
IMAGE	511	?	Unknown
AFTER	512	?	Unknown
PRINT	513	?	Unknown
ALERT	514	?	Unknown
GFKEY	515	?	Unknown
ONERR	516	?	Unknown
ABORT	517	?	Unknown
GFCMD	518	?	Unknown
UNHLT	519	?	Unknown
BTREE	520	?	Unknown
SUBDL	521	?	Unknown
STRIP	522	?	Unknown
ISHLT	523	?	Unknown
BASIC	524	?	Unknown
VOTER	525	?	Unknown
MUNIC	526	?	Unknown
LOGIN	527	?	Unknown
TIMER	528	?	Unknown
FENCE	529	?	Unknown
CLEAR	530	?	Unknown
REFNO	531	?	Unknown
POINT	532	?	Unknown
CRASH	533	?	Unknown
DEBUG	534	?	Unknown
CACHE	535	?	Unknown
ABEND	536	?	Unknown
UNLIT	537	?	Unknown
TAGLOC	601	?	Unknown
LOADPM	602	?	Unknown
DIALOG	603	?	Unknown
REPORT	604	?	Unknown
APPEND	605	?	Unknown
VERIFY	606	?	Unknown
EXPORT	607	?	Unknown
IMPORT	608	?	Unknown
BROWSE	609	?	Unknown
INSERT	610	?	Unknown
BEFORE	611	?	Unknown
OFFSET	612	?	Unknown
RETURN	613	?	Unknown
SYMNUM	614	?	Unknown
BOUNDS	615	?	Unknown
DECODE	616	?	Unknown
TEXTAZ	617	?	Unknown
BACKUP	618	?	Unknown
EXPAND	619	?	Unknown
PARENT	620	?	Unknown
SIGNOF	621	?	Unknown
MEMMAP	622	?	Unknown
BMPDIM	623	?	Unknown
MAPSET	624	?	Unknown
SUBSET	625	?	Unknown
LENGTH	626	?	Unknown
RUNSQL	627	?	Unknown
SETELV	628	?	Unknown
MARKER	629	?	Unknown
RENAME	630	?	Unknown
STATUS	631	?	Unknown
ZOOMVP	632	?	Unknown
IDPOLY	633	?	Unknown
TOGGLE	634	?	Unknown
FIELDS	635	?	Unknown
CURSOR	636	?	Unknown
CANZIP	637	?	Unknown
WINDOW	638	?	Unknown
SCREEN	639	?	Unknown
THREAD	640	?	Unknown
GETVAL	641	?	Unknown
BUTTON	642	?	Unknown
BITMAP	643	?	Unknown
FORALL	644	?	Unknown
LOADVIS	701	?	Unknown
LOADPIK	702	?	Unknown
MAKEMAP	703	?	Unknown
WHEREAT	704	?	Unknown
POINTER	705	?	Unknown
HLTAREA	706	?	Unknown
LOADRDF	707	?	Unknown
GETCVAL	708	?	Unknown
GETFVAL	709	?	Unknown
LINESYM	710	?	Unknown
LOADCFG	711	?	Unknown
TRNFROM	720	?	Unknown
CVTFROM	721	?	Unknown
AREASYM	722	?	Unknown
GETPATH	723	?	Unknown
NULLMAP	724	?	Unknown
MAKEDIR	725	?	Unknown
ENLARGE	726	?	Unknown
INFOBOX	727	?	Unknown
GETIVAL	728	?	Unknown
OPENAPP	729	?	Unknown
SYMNAME	730	?	Unknown
SYMDESC	731	?	Unknown
AUTOINC	732	?	Unknown
GLOBALS	733	?	Unknown
FILEFIT	734	?	Unknown
EPMACRO	735	?	Unknown
MESSAGE	736	?	Unknown
SAVEPIK	737	?	Unknown
SAVEVIS	738	?	Unknown
ATPRINT	739	?	Unknown
TCPOPEN	740	?	Unknown
TCPSEND	741	?	Unknown
GMDFIND	742	?	Unknown
UMREFNO	743	?	Unknown
CONVERT	744	?	Unknown
ADJTIME	745	?	Unknown
COPYMAP	746	?	Unknown
SYMCOPY	747	?	Unknown
EXECUTE	748	?	Unknown
CDUNITS	749	?	Unknown
LOADTIN	750	?	Unknown
SYMTYPE	751	?	Unknown
REPLACE	752	?	Unknown
SYMPLOT	753	?	Unknown
LOADDTM	754	?	Unknown
SYMDICT	755	?	Unknown
ARCDIST	756	?	Unknown
LOADBMP	757	?	Unknown
ADDAREA	758	?	Unknown
DOWNAME	759	?	Unknown
ADDLINE	760	?	Unknown
NUMROWS	761	?	Unknown
PICKCPT	762	?	Unknown
DISPLAY	763	?	Unknown
GMDCOPY	764	?	Unknown
VEHICLE	765	?	Unknown
