MatchCode,"Street","House","City","OriginalFileKey"
0,"PORTLAND AVE","5256","MINNEAPOLIS","10"
0,"MALCOLM AVE","945","MINNEAPOLIS","1000.2"
0,"SEYMORE AVE","188","MINNEAPOLIS","1044.1"
0,"STANDISH AVE","3608","MINNEAPOLIS","11"
0,"WASHBURN AVE N","2808","MINNEAPOLIS","15"
0,"XERXES AVE N","2410","MINNEAPOLIS","16"
0,"26TH AVE S","2648","MINNEAPOLIS","17"
0,"26TH AVE S","4900","MINNEAPOLIS","18"
0,"BRYANT AVE S","815","MINNEAPOLIS","2"
0,"BRYANT AVE S","922","MINNEAPOLIS","3"
0,"41ST AVE S","428","MINNEAPOLIS","4"
0,"ALDRICH AVE S","2453","MINNEAPOLIS","4108.8"
0,"COLFAX LA","6100","MINNEAPOLIS","4136.1"
0,"42ND AVE S","37","MINNEAPOLIS","5"
0,"42ND AVE N","806","MINNEAPOLIS","5542.1"
0,"COLFAX AVE N","3002","MINNEAPOLIS","5574.4"
0,"JAMES AVE S","2916","MINNEAPOLIS","5579.1"
0,"VANBUREN ST","3634","MINNEAPOLIS","5580.1"
0,"BARTON AVE","75","MINNEAPOLIS","5597.1"
0,"SEYMORE AVE","112","MINNEAPOLIS","5597.2"
0,"SEYMORE AVE","120","MINNEAPOLIS","5597.3"
0,"BEARD AVE S","3946","MINNEAPOLIS","5599.1"
0,"NICOLLET AVE","3800","MINNEAPOLIS","5623.1"
0,"34TH St W","111","MINNEAPOLIS","5636.1"
0,"37TH ST W","118","MINNEAPOLIS","5638.2"
0,"CHICAGO AVE","4554","MINNEAPOLIS","6007.2"
0,"HARRIET AVE","4356","MINNEAPOLIS","6466.5"
0,"GARFIELD AVE","4615","MINNEAPOLIS","6469.1"
0,"HOLMES AVE","3251","MINNEAPOLIS","6503.2"
0,"HOLMES AVE","3255","MINNEAPOLIS","6503.3"
0,"HUMBOLDT AVE S","2521","MINNEAPOLIS","6507.2"
0,"HILLSIDE AVE","1549","MINNEAPOLIS","6526.15"
0,"ELWOOD AVE","6325","MINNEAPOLIS","6535.1"
0,"BARNES PL","1417","MINNEAPOLIS","6536.1"
0,"IRVING AVE N","2938","MINNEAPOLIS","6542.1"
0,"IRVING AVE N","2942","MINNEAPOLIS","6542.2"
0,"IRVING AVE N","2946","MINNEAPOLIS","6542.3"
